Date,Close,High,Low,Open,Volume
2024-11-29,595.3124389648438,596.1028176783489,592.1805324077891,592.4571378216023,30177400
2024-12-02,596.3794555664062,597.0611699891763,595.2333552285763,595.7273494392206,31746000
2024-12-03,596.6561279296875,596.9031250627299,595.1050389999714,596.1424148983427,26906600
2024-12-04,600.361083984375,600.6080811170303,597.6836736596936,598.3554986242718,42787600
2024-12-05,599.373046875,601.1711930912362,599.0173855052907,600.3610353255455,28762200
2024-12-06,600.50927734375,601.7541524804552,599.7287881510366,600.1437264292612,31241500
2024-12-09,597.4168701171875,600.558666264525,596.8241011467584,600.3907251065754,34742700
2024-12-10,595.5594482421875,598.5234137048745,594.8975128400896,598.0985858914665,37234500
2024-12-11,600.1635131835938,601.1218330792508,598.2270340236872,598.5036997474019,28677700
2024-12-12,597.0711059570312,599.8670699892645,597.0711059570312,599.2940800778147,31543800
2024-12-13,596.9525146484375,599.8374239971062,595.5693067171701,599.1162117354461,35904700
2024-12-16,599.5015258789062,600.4796851568691,597.9405474515993,598.7210366652528,43695200
2024-12-17,597.0316162109375,597.9010510130405,595.6484683363475,596.9328414706237,55773500
2024-12-18,579.2379760742188,599.1261307957567,578.852646053902,596.7253257724597,108248700
2024-12-19,579.0599975585938,585.8771418800329,578.8130004498754,584.2568263743534,85919500
2024-12-20,586.01513671875,590.5751556827481,575.8640332815654,576.716609074651,125716700
2024-12-23,589.5244140625,590.1291009674258,582.555448912475,585.7574336728889,57635800
2024-12-24,596.0769653320312,596.1166566065269,590.2975890385056,590.8824907923924,33160100
2024-12-26,596.1166381835938,597.2466898769559,592.8849456716348,594.2925942579211,41219100
2024-12-27,589.841552734375,592.5875109444909,585.6284696635397,592.3495448410098,64969300
2024-12-30,583.1105346679688,586.5999783678407,579.3336317674779,582.7834446998471,56578800
2024-12-31,580.9891357421875,585.5095236812081,579.3435211584518,584.7858235548729,57052700
2025-01-02,579.5617065429688,585.9953233352497,575.4576529464935,584.2704470278884,50204000
2025-01-03,586.8081665039062,587.4524841165517,581.3360954279694,582.4265768189647,37888500
2025-01-06,590.1885986328125,594.4909273597681,588.4438765777337,591.0907281182205,47679400
2025-01-07,583.51708984375,592.5578675241707,581.6831833808894,592.2307170047155,60393100
2025-01-08,584.3695068359375,585.4500653976103,580.1167928192344,583.5863907900373,47304700
2025-01-10,575.4476318359375,580.8602259664042,573.5244809988104,580.7908267526183,73105000
2025-01-13,576.3399047851562,576.6967632072416,570.352331124668,570.7687264554227,47910100
